gene,log2_fold-change,SE,pvalue,padj
Kcnk1,1.072366584,0.016240209,0,0
Rnase4,1.070610483,0.040711557,2.0505E-152,2.0278E-151
Ptp4a3,1.064537046,0.040793576,4.0791E-150,3.9841E-149
Trpc7,1.06363331,0.035853408,2.0984E-193,2.6458E-192
Myl12a,1.062587335,0.031455588,3.8063E-250,6.3755E-249
Necab2,1.062123837,0.041017681,7.7222E-148,7.4383E-147
Eif4e3,1.061767465,0.027136247,0,0
Stom,1.051909576,0.032076763,7.2868E-236,1.1357E-234
Akt2,1.051842865,0.025631402,0,0
Fam213a,1.050731019,0.027820978,0,0
Cnn3,1.043803494,0.024412154,0,0
Jup,1.041189294,0.02773733,0,0
Pecam1,1.039694897,0.026422491,0,0
Hey2,1.036780896,0.029519286,3.0947E-270,5.6586E-269
Vtn,1.035887143,0.037090558,1.1998E-171,1.3489E-170
Smo,1.035052125,0.030485711,1.138E-252,1.9293E-251
Glb1l,1.032207288,0.035250011,1.7343E-188,2.1335E-187
Stat6,1.031400665,0.035397844,1.2071E-186,1.4779E-185
Ppm1h,1.025227139,0.026205411,0,0
Tmem176b,1.022235658,0.035333861,4.8997E-184,5.9191E-183
Frmpd1,1.020280437,0.030925069,1.0572E-238,1.6678E-237
Sh3bgrl,1.015984755,0.03055693,2.1164E-242,3.3798E-241
Hcn1,1.013516678,0.035381905,1.8473E-180,2.1865E-179
Pex5l,1.013227863,0.032597433,4.081E-212,5.678E-211
Suox,1.012467439,0.033843648,1.2178E-196,1.5616E-195
4931406C07Rik,1.012037138,0.031588842,3.2463E-225,4.7921E-224
Phlda1,1.01121649,0.031467321,1.4105E-226,2.101E-225
Sox9,1.000327563,0.029694666,8.9272E-249,1.4816E-247
Rest,0.998562863,0.036199137,1.6717E-167,1.8219E-166
Igsf11,0.998347742,0.029843877,2.3793E-245,3.8641E-244
Tmem132a,0.997479607,0.038747008,3.8218E-146,3.6445E-145
Gdf11,0.995862442,0.03164237,2.0709E-217,2.9583E-216
Syt1,0.994746954,0.027551149,1.8619E-285,3.6706E-284
Mapkapk2,0.993144316,0.025243818,0,0
Gbe1,0.992768605,0.034951013,1.7755E-177,2.0613E-176
Map3k1,0.991338593,0.027345984,9.3405E-288,1.8678E-286
Drd2,0.989417279,0.034729524,1.5929E-178,1.866E-177
Lrrc8c,0.985791969,0.02937917,7.8417E-247,1.285E-245
Msi2,0.985346943,0.024974382,0,0
Nab1,0.981132409,0.027882181,2.997E-271,5.5301E-270
Ganc,0.980330495,0.025950025,0,0
Ctnnd1,0.979771606,0.03780573,4.4021E-148,4.2516E-147
Etv5,0.978162432,0.035359144,1.9132E-168,2.1015E-167
Klf3,0.977370565,0.028478517,4.007E-258,7.0024E-257
St6gal1,0.975734183,0.030400918,5.0864E-226,7.5453E-225
Sh3bp4,0.974281487,0.025834552,0,0
Efnb1,0.97420736,0.036816939,2.7375E-154,2.7491E-153
Pip5k1b,0.973363201,0.02227635,0,0
Sel1l3,0.972751183,0.026011363,4.3451E-306,9.5282E-305
Dact1,0.967669466,0.03640827,1.2101E-155,1.2268E-154
Epb41l4a,0.966155841,0.029360699,1.7783E-237,2.7907E-236
Fryl,0.965084934,0.030703707,7.3511E-217,1.0444E-215
Ccdc90b,0.963858457,0.029822186,3.6419E-229,5.4922E-228
Smad3,0.959429886,0.024896017,0,0
Nfix,0.957993717,0.034515336,1.4916E-169,1.6503E-168
Asap2,0.954699994,0.029036781,4.3893E-237,6.8763E-236
Dab1,0.953381075,0.022130837,0,0
Lmo4,0.952726322,0.028523687,1.3156E-244,2.1252E-243
Galc,0.951772752,0.021281233,0,0
Rftn1,0.948154554,0.022986612,0,0
Afap1l2,0.947921788,0.032054939,3.4464E-192,4.3186E-191
Mgll,0.946371845,0.031406287,1.7809E-199,2.3197E-198
Rimbp2,0.946214951,0.023757863,0,0
Tle3,0.943041091,0.030908062,1.8528E-204,2.4737E-203
Fam20c,0.94267782,0.024504616,0,0
Slco2b1,0.942564986,0.02989656,3.6437E-218,5.2383E-217
Ano6,0.941360176,0.027514932,1.5652E-256,2.7015E-255
Tshz2,0.940825468,0.031692166,1.1514E-193,1.4548E-192
Fez2,0.939874976,0.020917822,0,0
Anxa5,0.938445599,0.024347409,0,0
Serinc5,0.934607026,0.022819894,0,0
Parp12,0.934325028,0.025906069,7.7772E-285,1.5249E-283
Tmem218,0.919527152,0.033715187,8.778E-164,9.3261E-163
Wnt5a,0.917455704,0.030888073,7.1098E-194,9.0023E-193
Nr2f1,0.915988315,0.023436912,0,0
Ech1,0.915037576,0.030406039,5.8156E-199,7.5533E-198
Ctdspl,0.912942464,0.024512816,1.3513E-303,2.9071E-302
Btd,0.910322572,0.025349214,2.0372E-282,3.9645E-281
Pdlim5,0.908718478,0.027121216,3.9657E-246,6.4695E-245
Mut,0.907282606,0.032275051,7.1967E-174,8.1874E-173
Lrrc8d,0.906672333,0.01669612,0,0
Etfa,0.905877984,0.030590468,1.014E-192,1.275E-191
Slc12a7,0.905533207,0.03424542,4.455E-154,4.4666E-153
Ndrg1,0.90414108,0.023841865,0,0
Cdyl,0.902125435,0.034682958,3.755E-149,3.646E-148
Wasf2,0.900228923,0.028251999,8.3545E-223,1.2204E-221
Mlc1,0.89615971,0.027842256,2.68E-227,4.0084E-226
Mtcl1,0.89489074,0.033792736,1.5729E-154,1.5822E-153
Pwwp2a,0.894584468,0.026013238,3.6088E-259,6.3616E-258
Lats2,0.888987033,0.029281219,1.8364E-202,2.4268E-201
Ddr1,0.887085693,0.032234894,1.0282E-166,1.1119E-165
Timp3,0.881304178,0.024890337,1.3098E-274,2.4544E-273
Inppl1,0.881072989,0.029329262,2.8838E-198,3.7294E-197
Lamp2,0.879944851,0.024188052,9.0407E-290,1.8259E-288
Emp2,0.878210162,0.028352453,1.1797E-210,1.6327E-209
Mtm1,0.877701429,0.030301824,1.8009E-184,2.1813E-183
Nsg1,0.875627126,0.024329571,1.1889E-283,2.3187E-282
Iqgap1,0.86356895,0.027463656,5.06E-217,7.2003E-216
Aldh2,0.861748478,0.024199298,9.6456E-278,1.8262E-276
Rtn4rl1,0.861626726,0.025060857,4.7871E-259,8.4305E-258
Kcnb1,0.857502001,0.032227923,5.57E-156,5.6626E-155
Slc39a1,0.856084976,0.030635748,7.8001E-172,8.7804E-171
2900026A02Rik,0.855806589,0.028452976,9.4202E-199,1.2217E-197
Pgm1,0.854666061,0.032369447,1.2497E-153,1.2502E-152
Nck2,0.854241179,0.026507854,7.6404E-228,1.1456E-226
Abcc8,0.852359347,0.026530547,1.8232E-226,2.7134E-225
Dab2,0.845995613,0.026660947,5.6898E-221,8.2714E-220
Cd164,0.845051895,0.022237978,0,0
Zadh2,0.843504589,0.021454089,0,0
Foxo3,0.841742467,0.03020389,6.3973E-171,7.1612E-170
Tmtc2,0.839131963,0.029026294,9.1027E-184,1.0967E-182
Afap1,0.837994197,0.027357809,4.7483E-206,6.41E-205
Zbed3,0.837591063,0.031802449,7.1726E-153,7.1244E-152
Pde9a,0.836435341,0.026005677,5.707E-227,8.5215E-226
Cpne8,0.835692276,0.029386239,6.816E-178,7.9485E-177
Mab21l1,0.83436485,0.030568609,4.886E-164,5.1941E-163
Gbas,0.832436313,0.027451236,5.5031E-202,7.2511E-201
Snx9,0.830358102,0.023829989,5.0529E-266,9.1198E-265
Slc41a1,0.829838076,0.020476891,0,0
Pbx3,0.827955724,0.019735646,0,0
Mcc,0.827487852,0.03101446,7.8818E-157,8.0399E-156
Eci2,0.827362876,0.024641401,3.7426E-247,6.1608E-246
Hmg20b,0.825166009,0.031701407,2.3071E-149,2.2437E-148
Tap2,0.822054806,0.030963614,2.6333E-155,2.6666E-154
Amd1,0.821958659,0.028475721,3.2617E-183,3.904E-182
Actn4,0.819243178,0.015937222,0,0
Alg14,0.819199429,0.026117903,5.9928E-216,8.4744E-215
Odc1,0.816977781,0.021231924,0,0
Slit2,0.812412065,0.028541992,3.2937E-178,3.8534E-177
Hadhb,0.80840564,0.030497549,7.9994E-155,8.0602E-154
Svil,0.807920175,0.029439149,8.2533E-166,8.8619E-165
Sorbs3,0.807240834,0.02926482,1.7312E-167,1.8856E-166
Etfdh,0.805641704,0.028735816,5.893E-173,6.6749E-172
Tbc1d2b,0.805033797,0.030160454,5.876E-157,6.004E-156
Slc19a1,0.804295403,0.030186669,2.0971E-156,2.1356E-155
Bub3,0.80418269,0.019119783,0,0
Ifngr1,0.796091927,0.023094209,2.1454E-260,3.8079E-259
Btbd3,0.795278628,0.026336401,2.5984E-200,3.4065E-199
Arf6,0.795004571,0.016026881,0,0
Sh3d19,0.794419287,0.028895965,2.1646E-166,2.3352E-165
Mpp6,0.790008058,0.028911656,2.1468E-164,2.2849E-163
Mcu,0.787816801,0.022120433,8.2407E-278,1.5635E-276
Serp1,0.786564786,0.027487293,4.3003E-180,5.0768E-179
Ivns1abp,0.784612206,0.022837356,1.1253E-258,1.978E-257
Hunk,0.781796129,0.024842126,2.1955E-217,3.1339E-216
Sec14l1,0.77801495,0.01836585,0,0
Laptm4a,0.775839814,0.025236086,1.5042E-207,2.0474E-206
Mtfr1,0.775604897,0.025935645,1.6953E-196,2.1724E-195
Spcs3,0.77366956,0.021113426,5.8103E-294,1.1975E-292
Ginm1,0.771422212,0.024663444,9.3064E-215,1.3099E-213
Tmem135,0.770337317,0.017594858,0,0
