gene,log2_fold-change,SE,pvalue,padj
Pnpla1,6.533600043,0.226029575,1.005E-183,1.2101E-182
Wt1,6.498021572,0.130640123,0,0
Lrat,6.473028966,0.092446152,0,0
Ptgdr,6.349118234,0.103592342,0,0
1500015O10Rik,6.19686617,0.117263879,0,0
Wif1,6.105721581,0.096775525,0,0
Gm5624,6.050335589,0.182127078,5.4631E-242,8.7013E-241
Grap2,6.003160038,0.130823581,0,0
Esm1,5.750165055,0.083866613,0,0
Slc22a3,5.718491385,0.095273586,0,0
Ces2e,5.687909911,0.206410706,3.722E-167,4.0395E-166
Cyp1b1,5.680434998,0.069314693,0,0
Dhh,5.64044986,0.137251754,0,0
F5,5.39937955,0.084339987,0,0
Zfp185,5.387390519,0.067998319,0,0
Inmt,5.374931224,0.113305608,0,0
Cd300lg,5.315975047,0.111045871,0,0
Lum,5.240931979,0.101031936,0,0
Hmgcs2,5.134269653,0.050910924,0,0
Ltbp2,5.121276044,0.159725095,1.4436E-225,2.1362E-224
Igfbp5,5.075889557,0.070078073,0,0
Exoc3l2,5.05191209,0.088691431,0,0
Lmx1a,5.05093777,0.078174478,0,0
Slc13a4,4.951761445,0.105410068,0,0
Twist1,4.932622012,0.077941519,0,0
Ntrk1,4.823102355,0.050595342,0,0
Nr5a2,4.822610697,0.171446546,4.3368E-174,4.9431E-173
Slc6a2,4.79205865,0.070820456,0,0
Slc43a3,4.742589234,0.090534266,0,0
Dcn,4.740676598,0.065433302,0,0
Insrr,4.735065628,0.073422301,0,0
Steap4,4.732702065,0.103711707,0,0
Glp1r,4.699554758,0.082285735,0,0
Igfbp4,4.639160209,0.061913495,0,0
Pax5,4.59355424,0.062399057,0,0
Casr,4.588407332,0.074559194,0,0
Tmem221,4.541248984,0.148154383,2.4747E-206,3.3432E-205
H2-Aa,4.535821211,0.08278798,0,0
Cldn3,4.498812355,0.15245398,2.1865E-191,2.7304E-190
Fam180a,4.498218246,0.103149438,0,0
Amhr2,4.497045204,0.07528799,0,0
Gpr50,4.443557196,0.121134198,1.3669E-294,2.8267E-293
Acox2,4.426555338,0.14755255,9.8558E-198,1.2683E-196
Mpzl2,4.421857214,0.148389707,4.0311E-195,5.14E-194
Igfbp6,4.419188389,0.130859014,5.3284E-250,8.9169E-249
Srd5a2,4.384309132,0.163222993,6.2992E-159,6.5171E-158
Tnfsf13,4.375478786,0.119277896,1.3601E-294,2.8159E-293
Olfml3,4.367865659,0.056360196,0,0
H2-Eb1,4.355377448,0.090553882,0,0
Plbd1,4.347465306,0.141050913,1.3312E-208,1.8215E-207
Ccr2,4.340081795,0.125114598,1.1602E-263,2.0837E-262
Tmem8c,4.312795002,0.06990887,0,0
H2-Ab1,4.297768402,0.095871203,0,0
Gdnf,4.248685902,0.117759181,4.765E-285,9.3533E-284
Slc14a2,4.210975555,0.088033224,0,0
Lbp,4.207294271,0.112903161,6.1415E-304,1.3259E-302
Aldh1a2,4.1999811,0.08492531,0,0
Rbm47,4.165638948,0.073372293,0,0
Col3a1,4.160637141,0.074612542,0,0
Fzd4,4.139411808,0.042263248,0,0
Ackr4,4.137714851,0.105811726,0,0
Nes,4.129746308,0.051501691,0,0
Cd74,4.128104328,0.083030539,0,0
Fmod,4.120885893,0.062446368,0,0
Gnb3,4.099678314,0.067300307,0,0
Tnnt1,4.082675214,0.121978712,1.3001E-245,2.1153E-244
Mgp,4.065659898,0.098790537,0,0
Mfap5,4.062535181,0.135372992,7.2806E-198,9.3887E-197
Fam84b,4.043601336,0.038732385,0,0
Shisa8,4.042972213,0.079411914,0,0
Crispld2,4.032363684,0.0671438,0,0
Hkdc1,3.992292821,0.139850552,3.0735E-179,3.6121E-178
Islr,3.971310037,0.07426256,0,0
Fam167b,3.96924634,0.099564269,0,0
Col4a6,3.967840361,0.052576964,0,0
Qprt,3.957658172,0.055540042,0,0
Ogn,3.897614457,0.07734951,0,0
Emp1,3.86877292,0.072727208,0,0
Nid1,3.858337543,0.043356791,0,0
Aqp6,3.858248452,0.064303076,0,0
Cdon,3.857049231,0.04076609,0,0
Col8a2,3.832310306,0.109073347,1.9585E-270,3.5992E-269
Sdpr,3.830136349,0.036853635,0,0
Tcea3,3.818568431,0.086887491,0,0
Tfcp2l1,3.800124844,0.081761869,0,0
Bnc2,3.79592745,0.092455148,0,0
Alox12,3.744772057,0.098113707,0,0
Loxl1,3.704342057,0.065483754,0,0
Gstm2,3.691137669,0.059897154,0,0
Pla2g5,3.690137948,0.077551446,0,0
Trabd2b,3.660805601,0.087823881,0,0
Loxl2,3.659092754,0.054368464,0,0
Vwa7,3.641077999,0.099816268,2.4943E-291,5.0945E-290
Cxcr4,3.632498644,0.067662278,0,0
Siglec1,3.618452684,0.12737899,1.658E-177,1.926E-176
Cybb,3.612330338,0.102517557,5.5799E-272,1.0349E-270
Npr1,3.60248982,0.050698241,0,0
Dnah11,3.596702869,0.12906392,6.5909E-171,7.3735E-170
Ccl2,3.591696745,0.133540797,2.4542E-159,2.5478E-158
Col15a1,3.578287111,0.048902067,0,0
Pcdh12,3.577862228,0.10449425,6.1866E-257,1.0708E-255
Pirt,3.555030893,0.043200247,0,0
Chad,3.554311113,0.13459236,1.1098E-153,1.1108E-152
Mfap4,3.549829759,0.099813754,4.9534E-277,9.3491E-276
Tmem37,3.533444196,0.063802926,0,0
Igfbp3,3.525217139,0.044913335,0,0
Zfp385c,3.519328447,0.092696267,0,0
Gimap4,3.471075053,0.129106519,3.2577E-159,3.3742E-158
Msx1,3.4710448,0.067539206,0,0
Sulf1,3.469940516,0.044365055,0,0
Traf1,3.459444655,0.077295741,0,0
Col13a1,3.45444061,0.093619605,4.8504E-298,1.0193E-296
C1s1,3.443359291,0.087579943,0,0
Lamc2,3.423036239,0.07035862,0,0
Gprc5c,3.408983694,0.040795307,0,0
Ssc5d,3.4074984,0.056626744,0,0
Cyp4b1,3.407019688,0.12966512,3.6522E-152,3.5981E-151
Itpr3,3.382997421,0.051915913,0,0
Fam19a3,3.382495187,0.085039983,0,0
Smoc2,3.366693687,0.048833104,0,0
Sned1,3.36129847,0.052210872,0,0
Aox3,3.35634913,0.097948654,2.4843E-257,4.3083E-256
Vim,3.355267392,0.046578889,0,0
Zbtb42,3.344519805,0.043917194,0,0
Rsad1,3.341372995,0.049639595,0,0
Col1a1,3.336708967,0.061161123,0,0
Gipr,3.313234458,0.062541755,0,0
Aebp1,3.289193796,0.057036003,0,0
Taar4,3.279260895,0.119336211,3.1143E-166,3.3578E-165
Fbxo2,3.275583391,0.037516996,0,0
Enpp3,3.256508483,0.062047435,0,0
Ctgf,3.252305113,0.070637351,0,0
Syt15,3.24521019,0.083857031,0,0
Prlhr,3.243694279,0.068197977,0,0
Itih5,3.216665892,0.046748694,0,0
Bgn,3.214923919,0.049535508,0,0
Asgr1,3.210894559,0.116168658,3.6871E-168,4.0402E-167
Prokr2,3.208770504,0.066721978,0,0
Cd24a,3.199425571,0.060510885,0,0
Igf2,3.194787034,0.06067525,0,0
Cd40,3.194765189,0.07631922,0,0
Hcar1,3.193936038,0.120984414,1.386E-153,1.385E-152
Ecm2,3.19188613,0.053322951,0,0
Tgfbi,3.170501551,0.059099891,0,0
Angpt2,3.160340439,0.08871506,6.0642E-278,1.153E-276
C1ra,3.153890083,0.101819963,1.1647E-210,1.6131E-209
Gatm,3.148866959,0.051028946,0,0
Lgals3,3.148515412,0.077388229,0,0
Myct1,3.144443617,0.086673509,3.4465E-288,6.8994E-287
Kdelr3,3.131087463,0.111436668,1.0521E-173,1.1955E-172
Acsf2,3.105418936,0.032476866,0,0
Insl6,3.090886167,0.120090501,4.3952E-146,4.1892E-145
Igfbp2,3.090019642,0.082421589,1.3197E-307,2.9293E-306
Tnfaip2,3.085196631,0.073020568,0,0
Emilin1,3.080434306,0.057991348,0,0
Itih2,3.068094736,0.071755381,0,0
Serping1,3.065828479,0.039859948,0,0
Dkk3,3.062859672,0.030078477,0,0
Gsta3,3.056658936,0.074697276,0,0
Atoh8,3.042368467,0.06644758,0,0
Igf2bp2,3.040326464,0.110359439,4.5103E-167,4.8892E-166
Trpm5,3.036542247,0.109145339,2.4111E-170,2.6841E-169
Pon3,3.031880217,0.055570005,0,0
Moxd1,3.005814872,0.101970131,5.6096E-191,6.9955E-190
Cemip,3.004894195,0.048292358,0,0
Gpr139,3.001607829,0.037589373,0,0
Ifi203,2.994569721,0.0786177,0,0
Filip1,2.994452937,0.044498903,0,0
Trp53i11,2.992561797,0.031868543,0,0
Tmem215,2.99001595,0.047330347,0,0
Nts,2.988018459,0.058568904,0,0
Gm17455,2.979522868,0.081038122,6.2372E-296,1.2987E-294
Nppa,2.978107499,0.091786263,6.1454E-231,9.3687E-230
Srgn,2.971690895,0.043702773,0,0
Pcolce,2.970487405,0.065315514,0,0
Fn1,2.968449193,0.044758397,0,0
Pyroxd2,2.968312617,0.059542891,0,0
Hspg2,2.961529382,0.049862986,0,0
Snai1,2.958121277,0.098263181,4.2866E-199,5.5713E-198
Nt5e,2.942276526,0.057441735,0,0
Tnfsfm13,2.931616159,0.106341943,2.7059E-167,2.9438E-166
Mdfi,2.929149485,0.067041777,0,0
Cntnap3,2.92710706,0.075948782,0,0
Zic4,2.899273151,0.031249954,0,0
Hacd4,2.898049419,0.054984879,0,0
Fmo2,2.88729368,0.051728781,0,0
Rab7b,2.884192175,0.086777061,3.1666E-242,5.0524E-241
Wnt5b,2.877661085,0.054325779,0,0
Fgl2,2.873477989,0.077356654,5.117E-302,1.0969E-300
Col4a5,2.870243715,0.044710772,0,0
Mndal,2.852542324,0.077522074,2.0989E-296,4.3805E-295
Anxa2,2.846059154,0.044666351,0,0
Col4a3,2.838770753,0.088644135,4.9973E-225,7.371E-224
Thsd4,2.838323582,0.040956685,0,0
Adora2a,2.834774617,0.047926243,0,0
Aif1l,2.822394837,0.03087437,0,0
Zic5,2.822075224,0.050247093,0,0
Lrrc36,2.81550875,0.095827351,9.5894E-190,1.1877E-188
Fam198b,2.815280353,0.056745371,0,0
Cped1,2.814860822,0.06402216,0,0
Lama2,2.809613244,0.042865309,0,0
Adgrv1,2.804095793,0.062675938,0,0
Enpep,2.802229342,0.041193786,0,0
Taar2,2.798983265,0.098980158,6.4033E-176,7.3772E-175
Prrx2,2.794521571,0.068007671,0,0
Scara5,2.793052743,0.090929631,3.4126E-207,4.6344E-206
Cyp26b1,2.785757568,0.078922109,6.4019E-273,1.191E-271
Avil,2.776211279,0.075277951,9.8586E-298,2.0694E-296
Dapp1,2.774051396,0.046187366,0,0
Meltf,2.77364406,0.102194125,3.2396E-162,3.4119E-161
Tmc6,2.770159282,0.04636426,0,0
Tgfb2,2.761782533,0.042037972,0,0
Antxr2,2.737840446,0.072519222,0,0
Ramp3,2.736020704,0.060799235,0,0
Maf,2.735930286,0.040027539,0,0
Ptx3,2.730395745,0.075163573,6.2779E-289,1.2651E-287
Ccbe1,2.716335388,0.04888766,0,0
Mafa,2.710622565,0.104032024,1.1608E-149,1.1313E-148
Mdfic,2.70874211,0.038868517,0,0
Cp,2.700687046,0.045555511,0,0
Cacna1s,2.694095433,0.08418684,1.0431E-224,1.5324E-223
Fbxl7,2.690214771,0.061574164,0,0
Abcc12,2.687079263,0.076476527,1.902E-270,3.4989E-269
Frk,2.676026231,0.096972872,1.256E-167,1.3713E-166
Mrc1,2.66762486,0.066576127,0,0
Celsr1,2.6518873,0.049235078,0,0
Chdh,2.645253009,0.053935508,0,0
Ezr,2.644496542,0.0324992,0,0
Gpr88,2.635766932,0.078424049,1.2324E-247,2.0306E-246
Zic2,2.635291248,0.037357479,0,0
Prdm1,2.617069923,0.084255757,8.0988E-212,1.1242E-210
Cxcl16,2.616407529,0.058152823,0,0
Pou4f1,2.599386502,0.086181431,7.5133E-200,9.8072E-199
Rarres2,2.586591682,0.058962862,0,0
Htra3,2.582858364,0.054384127,0,0
Gmnc,2.577490541,0.075385915,3.3342E-256,5.7491E-255
Heg1,2.57385049,0.035302186,0,0
Map2k6,2.569959099,0.034905628,0,0
Mmp19,2.566601448,0.088792459,1.0146E-183,1.2208E-182
Ucma,2.551147553,0.04790127,0,0
Apol10b,2.538878655,0.098040423,7.3412E-148,7.0751E-147
Bace2,2.536679946,0.036753821,0,0
P2rx6,2.535503352,0.04782525,0,0
Stc2,2.534640063,0.050114589,0,0
Plxnd1,2.533710025,0.042323865,0,0
Slc7a8,2.529858376,0.028074281,0,0
Ifitm2,2.518045744,0.045715954,0,0
Sfrp4,2.516690924,0.054474176,0,0
Igf1,2.512664881,0.069385172,3.7622E-287,7.4901E-286
Fbln2,2.510896028,0.052363949,0,0
Wfikkn2,2.500887504,0.072896474,6.0896E-258,1.0611E-256
Apod,2.497212756,0.048123144,0,0
Prelp,2.490631303,0.040251074,0,0
Nos2,2.489503355,0.094454568,4.3094E-153,4.2828E-152
Hapln3,2.485107712,0.066438036,3.2533E-306,7.1514E-305
Efnb2,2.466979011,0.024554298,0,0
Aox1,2.46476651,0.044055556,0,0
Col4a4,2.463789065,0.075497484,1.3491E-233,2.076E-232
Gch1,2.461650146,0.047804007,0,0
Golim4,2.459096444,0.033923255,0,0
Olfr78,2.450454957,0.059119258,0,0
Oplah,2.433707139,0.034086888,0,0
Dhrs3,2.428594408,0.044449962,0,0
Enpp1,2.427200105,0.035060869,0,0
P2ry14,2.417801612,0.052002444,0,0
Kdr,2.412827921,0.045738021,0,0
Has3,2.410339376,0.083419549,1.4129E-183,1.6978E-182
Ptrf,2.4090544,0.031009276,0,0
Plau,2.408993648,0.068576544,2.4727E-270,4.5351E-269
Hlx,2.392160889,0.090666359,2.0794E-153,2.0722E-152
Fblim1,2.388682626,0.067723545,1.6305E-272,3.0272E-271
Dynlrb2,2.387925698,0.079171016,7.5538E-200,9.8531E-199
Nbl1,2.387571489,0.056013199,0,0
Igfbp7,2.386403563,0.038811483,0,0
Reln,2.386122797,0.034430824,0,0
Ror1,2.382601279,0.087612854,7.5127E-163,7.9492E-162
Wnt9a,2.381234359,0.051122791,0,0
Clec14a,2.362997665,0.050525479,0,0
Matn2,2.359373274,0.051870231,0,0
Hmox1,2.354607257,0.041503918,0,0
Cd109,2.351994223,0.048928951,0,0
Mettl24,2.345997298,0.09014573,2.616E-149,2.5428E-148
Col5a1,2.339416981,0.072470219,1.2893E-228,1.9379E-227
Rbpms,2.339009917,0.045397074,0,0
Plvap,2.330089796,0.049350805,0,0
Nupr1,2.318001444,0.076900803,1.3351E-199,1.7402E-198
1810011O10Rik,2.308018116,0.081665447,1.0174E-175,1.1684E-174
Itga5,2.307230251,0.061855452,1.6196E-304,3.5133E-303
Adgra2,2.288972329,0.044174349,0,0
Gfral,2.279806366,0.049300163,0,0
Olfml2a,2.275195559,0.052732466,0,0
Angptl2,2.271152938,0.04657436,0,0
Mxra8,2.252201717,0.03274155,0,0
Emp3,2.250411248,0.076264397,2.2718E-191,2.835E-190
Hfe,2.23802364,0.029514839,0,0
Kitl,2.237293777,0.04003727,0,0
Echdc3,2.226198368,0.058964446,0,0
Mycbpap,2.213841134,0.050045809,0,0
Ccnjl,2.207826889,0.057407287,0,0
Lyz2,2.205408031,0.065119591,2.0369E-251,3.4372E-250
Tbxa2r,2.194048647,0.07978322,1.7495E-166,1.8886E-165
Calr3,2.189647896,0.063810862,4.744E-258,8.2823E-257
Tspan18,2.188939836,0.038243158,0,0
Galnt12,2.184503737,0.06191672,1.1358E-272,2.1108E-271
Robo4,2.179910501,0.040604595,0,0
Lamc3,2.179138104,0.050125265,0,0
Cracr2b,2.177246532,0.054705376,0,0
Ajuba,2.171082367,0.062418072,4.4096E-265,7.943E-264
Ddr2,2.170483848,0.04927428,0,0
Plagl1,2.169793276,0.042031998,0,0
Sntg2,2.169784552,0.062894962,8.4353E-261,1.5001E-259
Tmem88,2.169605757,0.076409613,2.3706E-177,2.7503E-176
Slc6a13,2.168612589,0.060527167,3.9413E-281,7.6455E-280
Tgif2,2.158720809,0.059924644,3.5321E-284,6.8959E-283
Slc7a11,2.151504933,0.058374005,2.2389E-297,4.6888E-296
Tubb6,2.148996772,0.068480469,3.6571E-216,5.1755E-215
Gabrd,2.133529754,0.06950178,6.1492E-207,8.3322E-206
Ppm1j,2.131760654,0.074200054,1.6148E-181,1.9213E-180
Wls,2.125216827,0.034177912,0,0
Dll4,2.12296147,0.056971796,6.4349E-304,1.3876E-302
Lamb1,2.115183192,0.046110171,0,0
Fzd7,2.11472278,0.040909993,0,0
Ahnak,2.110480954,0.045644062,0,0
Gm7694,2.104494037,0.046780639,0,0
Ifitm3,2.094607226,0.072746431,2.6047E-182,3.1073E-181
Ppp1r17,2.08643229,0.074861955,6.0979E-171,6.8345E-170
Cdca7l,2.083504672,0.079575955,4.1954E-151,4.1153E-150
Zic3,2.075286079,0.033784832,0,0
Ret,2.07351372,0.029042287,0,0
Tor4a,2.072029108,0.056043702,3.268E-299,6.9076E-298
Gstm1,2.070033526,0.034430964,0,0
Rin1,2.066853909,0.071480821,7.7786E-184,9.3907E-183
Barx2,2.066499677,0.052794204,0,0
C1qtnf6,2.063961436,0.064453299,5.2877E-225,7.7929E-224
Txnip,2.063793073,0.062341735,2.5587E-240,4.054E-239
Ltbp1,2.063333117,0.053613802,0,0
Lpl,2.05443979,0.063949281,1.9065E-226,2.8304E-225
Gpx8,2.045954721,0.046103699,0,0
Bmp5,2.042677852,0.079093759,4.5241E-147,4.3393E-146
Adarb2,2.033636787,0.04071561,0,0
Gdpd2,2.029404589,0.033794471,0,0
Tbc1d2,2.022997412,0.057463242,1.6725E-271,3.0988E-270
Gas1,2.021094145,0.040763771,0,0
Abca9,2.011740888,0.048894358,0,0
Msn,2.007868226,0.025185529,0,0
Osmr,1.996568855,0.049053293,0,0
Npl,1.994175748,0.056323716,1.3995E-274,2.6196E-273
Rcn3,1.991125277,0.048039888,0,0
Kirrel2,1.985168892,0.06095901,1.2579E-232,1.9307E-231
Anxa4,1.979489352,0.046593026,0,0
Cd36,1.978237334,0.076112817,6.283E-149,6.094E-148
Ikbke,1.977120173,0.075098624,9.4186E-153,9.3399E-152
Mgst1,1.976092969,0.033381792,0,0
Gpx3,1.971718662,0.054064394,3.3381E-291,6.8024E-290
Wnk4,1.970587297,0.068028025,1.7001E-184,2.0606E-183
Rbp1,1.962898149,0.043473385,0,0
Cpxm2,1.962427717,0.058449131,3.8916E-247,6.4003E-246
Tm4sf1,1.961068339,0.035240621,0,0
Ano1,1.957489871,0.049956781,0,0
Tmem220,1.95319662,0.07370042,9.2308E-155,9.2958E-154
Rhoj,1.953169386,0.039919844,0,0
Crb2,1.942189764,0.056533483,1.1991E-258,2.1035E-257
Tnxb,1.935372786,0.065725141,1.3974E-190,1.7391E-189
Abcc9,1.933368032,0.043893824,0,0
Gper1,1.931780248,0.05498654,2.1989E-270,4.0369E-269
Itga8,1.925720725,0.071947575,8.1271E-158,8.3417E-157
Notch2,1.924893235,0.035553321,0,0
Emcn,1.920866698,0.041420348,0,0
Rasl11a,1.920435978,0.06381836,6.1257E-199,7.9503E-198
Bambi,1.916315495,0.053816411,1.0391E-277,1.9653E-276
Slc20a2,1.912557687,0.033190628,0,0
Prrx1,1.91194173,0.034555028,0,0
Trpm4,1.907211888,0.040436038,0,0
Sema3b,1.906518905,0.057665371,1.054E-239,1.6656E-238
Gas2l3,1.903977961,0.069089265,3.5263E-167,3.8294E-166
Ankrd33b,1.902292842,0.056190997,3.1638E-251,5.3338E-250
Nid2,1.89956367,0.049471407,0,0
Mmrn2,1.894780385,0.038837871,0,0
Lyn,1.893605628,0.033474898,0,0
Epha8,1.890761951,0.055254017,1.2424E-256,2.1464E-255
Pla1a,1.889845775,0.072571733,1.6981E-149,1.6523E-148
0610040J01Rik,1.887884702,0.048252462,0,0
Cpxm1,1.882728748,0.046777882,0,0
Clec3b,1.880407605,0.066442458,3.3314E-176,3.8478E-175
Plch2,1.880194647,0.059725394,1.5983E-217,2.285E-216
Crabp2,1.879976666,0.068960716,1.2122E-163,1.2871E-162
Gli3,1.87851991,0.046689887,0,0
P3h2,1.875091411,0.054752869,4.9256E-257,8.5338E-256
Mboat1,1.874330238,0.051511798,6.9792E-290,1.4112E-288
Bicc1,1.868458887,0.037670675,0,0
Id3,1.856758451,0.052389191,3.9031E-275,7.3288E-274
Col18a1,1.855060471,0.051466625,1.7155E-284,3.3601E-283
Slc16a6,1.855015639,0.037453556,0,0
Chrna5,1.851631207,0.048554406,0,0
Smtn,1.840351855,0.049668167,1.6101E-300,3.4232E-299
Ctsc,1.836086776,0.050877859,3.4822E-285,6.8501E-284
Gpd1,1.835588062,0.034373212,0,0
Gm45837,1.833643224,0.025844737,0,0
Cotl1,1.832713652,0.030406439,0,0
Tec,1.831177757,0.042384579,0,0
S1pr3,1.823279458,0.035005256,0,0
Scn5a,1.814720833,0.055977414,1.4913E-230,2.2659E-229
Bcat2,1.80812908,0.06642099,3.5418E-163,3.7519E-162
Bcl2l11,1.806278858,0.04826068,1.3931E-306,3.0696E-305
Ccdc80,1.803321313,0.040698476,0,0
Thbd,1.803074969,0.055838161,9.3302E-229,1.4036E-227
Podxl,1.80108494,0.031348069,0,0
Gadd45a,1.798625998,0.044212164,0,0
Scube3,1.789400001,0.036163473,0,0
Mob3b,1.788621964,0.035894992,0,0
C130074G19Rik,1.782260655,0.045975564,0,0
2810459M11Rik,1.775809448,0.040046321,0,0
Gpc6,1.772874316,0.042071571,0,0
Nat8f1,1.771385495,0.039402284,0,0
Lrrc32,1.763395746,0.061516692,1.0328E-180,1.2241E-179
Slc2a9,1.758020996,0.064729744,1.9609E-162,2.07E-161
Cfh,1.756640072,0.048415214,3.0205E-288,6.06E-287
Fam160a1,1.755766995,0.065451734,1.6351E-158,1.6887E-157
Clic1,1.754001381,0.051984768,1.4646E-249,2.4443E-248
Lpar1,1.74869169,0.035419627,0,0
Dhx58,1.748656049,0.057910528,2.6874E-200,3.5205E-199
Col6a2,1.746403678,0.052087865,1.882E-246,3.073E-245
Wnt3,1.744996586,0.03912267,0,0
Pla2g7,1.741891883,0.032928705,0,0
Hic1,1.736537783,0.05788091,9.2667E-198,1.1933E-196
Kif26a,1.735888497,0.048657998,9.5527E-279,1.8239E-277
Slc37a1,1.730202031,0.029377511,0,0
Arhgap29,1.723115382,0.041621562,0,0
Mylk,1.716459488,0.043150564,0,0
Calcr,1.713128529,0.048187652,7.9633E-277,1.5015E-275
Piezo2,1.713084889,0.062348751,3.4129E-166,3.6776E-165
Arhgef5,1.708341085,0.038916593,0,0
Kremen1,1.706625291,0.032430121,0,0
Epha3,1.698707643,0.054904863,3.5599E-210,4.919E-209
Lama4,1.695198915,0.044325508,0,0
Cd248,1.690581502,0.056468292,6.1928E-197,7.952E-196
Tprkb,1.686255989,0.032386615,0,0
Mvp,1.684840369,0.031054434,0,0
Serpinh1,1.682308387,0.031812843,0,0
Fbln7,1.682274644,0.044736504,0,0
Fam81a,1.682181459,0.030315519,0,0
Rflnb,1.679094696,0.038802364,0,0
Arhgap18,1.674570617,0.04099621,0,0
Mmp2,1.665081662,0.04730291,1.9711E-271,3.6445E-270
Slco4a1,1.664745364,0.049304431,6.5236E-250,1.0907E-248
Sntb2,1.661151641,0.061664999,7.8169E-160,8.1523E-159
Sfrp1,1.660860112,0.048740053,1.6797E-254,2.8718E-253
Cd93,1.660679869,0.046932096,2.9319E-274,5.4825E-273
Acss3,1.655321169,0.057761805,1.2849E-180,1.5218E-179
Mrc2,1.653066093,0.043326398,0,0
Tsku,1.651419562,0.056539986,1.535E-187,1.8832E-186
Kcnip2,1.646574374,0.032338106,0,0
Ifih1,1.646239131,0.049312453,2.3527E-244,3.7937E-243
Skor1,1.639772653,0.029364471,0,0
Gm973,1.632684551,0.040111294,0,0
Hspb1,1.630535753,0.049785224,2.9001E-235,4.5083E-234
Lamc1,1.629676972,0.029057015,0,0
Rfx2,1.627757996,0.037634124,0,0
Kank4,1.626294001,0.027011386,0,0
Tfpi,1.62431307,0.059168337,6.5034E-166,6.9913E-165
Tmco4,1.623531981,0.050515342,1.2428E-226,1.8527E-225
Pkd2,1.614823381,0.026237269,0,0
Mmp14,1.612121091,0.037309964,0,0
Ston1,1.611600109,0.057644552,5.3375E-172,6.0157E-171
Mest,1.610485531,0.060238836,1.845E-157,1.8894E-156
Apobec3,1.606956542,0.04808845,7.8476E-245,1.2711E-243
Pdgfd,1.603522349,0.038027419,0,0
Lsp1,1.602821314,0.056846591,6.629E-175,7.5843E-174
Pgghg,1.601368127,0.041291092,0,0
Acacb,1.598882199,0.034601943,0,0
Nr2f2,1.596934384,0.041955999,0,0
Vegfa,1.595592987,0.027426096,0,0
Atp1a1,1.59421391,0.02294512,0,0
Gca,1.591487443,0.028822352,0,0
Antxr1,1.586840311,0.029698908,0,0
Shc1,1.58359675,0.03702405,0,0
Foxj1,1.582453941,0.051253042,2.5622E-209,3.5244E-208
Rassf2,1.581641173,0.028862,0,0
Casq2,1.581210942,0.0605734,3.2797E-150,3.2068E-149
Flna,1.580678826,0.033342201,0,0
Smc4,1.577170236,0.048998697,2.5978E-227,3.8886E-226
Rgag1,1.576528574,0.058503145,6.0602E-160,6.3274E-159
Tmod1,1.562043434,0.029486966,0,0
Il1r1,1.560145681,0.049385785,4.9099E-219,7.0922E-218
Prss35,1.558629599,0.051240032,3.1562E-203,4.1892E-202
Pear1,1.553969048,0.051505413,5.6921E-200,7.4353E-199
Grrp1,1.549631973,0.058212698,3.9656E-156,4.0338E-155
Hk2,1.542541806,0.04366889,2.5516E-273,4.7566E-272
Tcf7,1.538890669,0.047176531,2.1465E-233,3.3002E-232
Plekhg2,1.535862878,0.048892483,1.3417E-216,1.9032E-215
Etv1,1.535123628,0.044790436,1.9504E-257,3.3855E-256
Ammecr1l,1.534980544,0.025598964,0,0
Edn3,1.532961511,0.049645636,2.3531E-209,3.2392E-208
Tlr3,1.531015073,0.04041053,0,0
Nfkb2,1.52995614,0.054060952,3.3998E-176,3.9244E-175
Gfra1,1.528546897,0.029045595,0,0
Atf5,1.526248386,0.044376053,3.1524E-259,5.5625E-258
Foxc1,1.525370921,0.057783614,1.4452E-153,1.4426E-152
Suclg2,1.524853944,0.039285875,0,0
Tgif1,1.523577927,0.042135431,2.6798E-286,5.3236E-285
Cfap126,1.522942541,0.057723073,2.1135E-153,2.105E-152
Rasd1,1.520404563,0.040536598,7.0934E-308,1.5784E-306
Zic1,1.515318979,0.0286035,0,0
Tnfrsf11b,1.511112674,0.04775197,8.8755E-220,1.2872E-218
Slc43a2,1.510945707,0.029104653,0,0
Myo1e,1.509724765,0.03244681,0,0
Plcd1,1.497291709,0.037247316,0,0
Lrrk1,1.493995462,0.039399211,0,0
Pcdhgc5,1.493708757,0.051501811,6.0248E-185,7.3221E-184
S100b,1.491772275,0.031781551,0,0
Pax8,1.489097814,0.044697771,2.3565E-243,3.7764E-242
Gucy1a3,1.488241396,0.032458054,0,0
Pdk4,1.487290775,0.036124784,0,0
Gm2115,1.485805752,0.038950479,0,0
Aff1,1.484774101,0.037946335,0,0
Crhr2,1.483823801,0.051251773,2.6746E-184,3.2353E-183
Ly75,1.483772908,0.043999756,2.7241E-249,4.5336E-248
Synpo2,1.481181164,0.035239648,0,0
Apobec1,1.478080126,0.051011949,1.3524E-184,1.6403E-183
Arhgef19,1.477753186,0.039011661,0,0
Gpr149,1.475586846,0.048614137,2.2908E-202,3.025E-201
BC026585,1.475045221,0.037496585,0,0
Mmp15,1.474185683,0.035574416,0,0
Nxn,1.472826727,0.026920317,0,0
Sorbs2,1.471689193,0.028861905,0,0
Kit,1.469150023,0.040279874,2.913E-291,5.9428E-290
Mns1,1.467825366,0.052442712,2.2041E-172,2.4888E-171
Bag3,1.464716517,0.03016612,0,0
Tns3,1.462183718,0.029622231,0,0
